8069,Larimer,Colorado,US,2021-01-02 05:22:33,40.66671597,-105.4625784,15232,147,0,15085,"Larimer, Colorado, US",4267.874104438511,0.9650735294117647
8071,Las Animas,Colorado,US,2021-01-02 05:22:33,37.3153406,-104.0376458,512,6,0,506,"Las Animas, Colorado, US",3529.573969391976,1.171875
8073,Lincoln,Colorado,US,2021-01-02 05:22:33,38.98749519,-103.5136649,783,3,0,780,"Lincoln, Colorado, US",13734.432555691983,0.3831417624521073
8075,Logan,Colorado,US,2021-01-02 05:22:33,40.7249637,-103.110817,3249,55,0,3194,"Logan, Colorado, US",14498.638939711724,1.6928285626346569
8077,Mesa,Colorado,US,2021-01-02 05:22:33,39.01787888,-108.469799,9239,139,0,9100,"Mesa, Colorado, US",5991.18085727255,1.5044918281199264
8079,Mineral,Colorado,US,2021-01-02 05:22:33,37.66954283,-106.9281698,44,1,0,43,"Mineral, Colorado, US",5721.716514954486,2.272727272727273
8081,Moffat,Colorado,US,2021-01-02 05:22:33,40.61810999,-108.2070876,543,20,0,523,"Moffat, Colorado, US",4087.9319430851465,3.6832412523020257
8083,Montezuma,Colorado,US,2021-01-02 05:22:33,37.33859579,-108.5958857,1242,16,0,1226,"Montezuma, Colorado, US",4743.535882060879,1.288244766505636
8085,Montrose,Colorado,US,2021-01-02 05:22:33,38.40214114,-108.26390220000002,2134,31,0,2103,"Montrose, Colorado, US",4990.878899854998,1.4526710402999063
8087,Morgan,Colorado,US,2021-01-02 05:22:33,40.26279810000001,-103.8093302,2136,82,0,2054,"Morgan, Colorado, US",7348.286775835971,3.838951310861423
8089,Otero,Colorado,US,2021-01-02 05:22:33,37.9014485,-103.7173385,1648,39,0,1609,"Otero, Colorado, US",9016.303753145858,2.366504854368932
8091,Ouray,Colorado,US,2021-01-02 05:22:33,38.14717457,-107.7675136,155,3,0,152,"Ouray, Colorado, US",3130.048465266559,1.935483870967742
80008,Out of CO,Colorado,US,2021-01-02 05:22:33,,,0,0,0,0,"Out of CO, Colorado, US",,
8093,Park,Colorado,US,2021-01-02 05:22:33,39.120926,-105.7182065,384,5,0,379,"Park, Colorado, US",2037.6757760679225,1.3020833333333333
8095,Phillips,Colorado,US,2021-01-02 05:22:33,40.59414277,-102.3577703,286,8,0,278,"Phillips, Colorado, US",6705.744431418523,2.797202797202797
8097,Pitkin,Colorado,US,2021-01-02 05:22:33,39.21720112,-106.9310027,1045,4,0,1041,"Pitkin, Colorado, US",5881.6907750323635,0.3827751196172249
8099,Prowers,Colorado,US,2021-01-02 05:22:33,37.95544985,-102.3926052,1007,20,0,987,"Prowers, Colorado, US",8273.085770621097,1.9860973187686197
8101,Pueblo,Colorado,US,2021-01-02 05:22:33,38.17359144,-104.5127437,13328,313,0,13015,"Pueblo, Colorado, US",7913.361516173467,2.3484393757503
8103,Rio Blanco,Colorado,US,2021-01-02 05:22:33,39.97913541,-108.2179009,269,3,0,266,"Rio Blanco, Colorado, US",4253.636938646427,1.1152416356877324
8105,Rio Grande,Colorado,US,2021-01-02 05:22:33,37.5836865,-106.3847838,393,7,0,386,"Rio Grande, Colorado, US",3488.0624833584807,1.7811704834605597
8107,Routt,Colorado,US,2021-01-02 05:22:33,40.48596505,-106.9905548,1058,18,0,1040,"Routt, Colorado, US",4126.686949059989,1.7013232514177694
8109,Saguache,Colorado,US,2021-01-02 05:22:33,38.08054629,-106.282466,256,4,0,252,"Saguache, Colorado, US",3751.4654161781946,1.5625
8111,San Juan,Colorado,US,2021-01-02 05:22:33,37.76248981,-107.67632890000002,27,0,0,27,"San Juan, Colorado, US",3708.7912087912086,0.0
8113,San Miguel,Colorado,US,2021-01-02 05:22:33,38.00450883,-108.4020725,394,0,0,394,"San Miguel, Colorado, US",4817.214818437462,0.0
8115,Sedgwick,Colorado,US,2021-01-02 05:22:33,40.87595412,-102.3519227,134,2,0,132,"Sedgwick, Colorado, US",5960.854092526691,1.492537313432836
8117,Summit,Colorado,US,2021-01-02 05:22:33,39.63803232,-106.1150762,2143,5,0,2138,"Summit, Colorado, US",6910.451130244107,0.2333177788147457
8119,Teller,Colorado,US,2021-01-02 05:22:33,38.88133511,-105.1614893,994,9,0,985,"Teller, Colorado, US",3915.235544351662,0.9054325955734407
90008,Unassigned,Colorado,US,2021-01-02 05:22:33,,,27,0,0,27,"Unassigned, Colorado, US",,0.0
8121,Washington,Colorado,US,2021-01-02 05:22:33,39.97015535,-103.202587,347,11,0,336,"Washington, Colorado, US",7070.089649551752,3.170028818443804
8123,Weld,Colorado,US,2021-01-02 05:22:33,40.55499405,-104.3929621,20100,287,0,19813,"Weld, Colorado, US",6194.297548167598,1.427860696517413
8125,Yuma,Colorado,US,2021-01-02 05:22:33,40.00346839,-102.4258673,552,13,0,539,"Yuma, Colorado, US",5509.531889410121,2.3550724637681157
